pitch,start,end,velocity,instrument
70,37.69226999999999,38.044833749999995,122,0
58,37.69226999999999,38.10092343749999,123,0
67,37.69226999999999,38.453487187499995,122,0
67,37.69226999999999,38.01278249999999,117,48
63,38.076885,38.413423124999994,118,0
51,38.076885,38.477525625,122,0
67,38.076885,38.55765374999999,118,48
62,38.461499999999994,38.7098971875,122,0
65,38.461499999999994,38.91823031249999,123,0
58,38.461499999999994,39.05444812499999,121,0
50,38.461499999999994,39.23874281249999,121,0
65,38.461499999999994,39.222717187499995,115,48
65,38.461499999999994,39.415024687499994,113,52
62,38.461499999999994,39.415024687499994,113,52
62,38.846115,39.278806874999994,121,0
58,39.230729999999994,39.64739624999999,122,0
65,39.230729999999994,39.6554090625,123,0
70,39.230729999999994,39.951883124999995,120,0
70,39.230729999999994,40.03201125,112,48
70,39.42303749999999,39.991947187499996,113,52
62,39.615345,39.78361406249999,121,0
50,39.615345,40.040024062499995,120,0
61,39.999959999999994,40.23233156249999,123,0
64,39.999959999999994,40.4727159375,123,0
67,39.999959999999994,40.48072875,123,0
58,39.999959999999994,40.721113124999995,123,0
49,39.999959999999994,41.6105353125,122,0
64,39.999959999999994,40.32848531249999,115,48
64,39.999959999999994,40.37656218749999,113,52
61,39.999959999999994,40.37656218749999,113,52
61,40.384575,41.05765124999999,120,0
64,40.384575,40.6970746875,117,48
67,40.384575,40.761177187499996,113,52
64,40.769189999999995,41.129766562499995,123,0
67,40.769189999999995,41.4342534375,122,0
64,40.769189999999995,41.09771531249999,117,48
70,40.769189999999995,41.530407187499996,113,52
58,41.153805,41.442266249999996,122,0
61,41.153805,41.45829187499999,118,0
70,41.153805,41.490343124999995,122,0
65,41.153805,41.530407187499996,110,48
60,41.538419999999995,41.770791562499994,123,0
65,41.538419999999995,42.0272015625,123,0
69,41.538419999999995,42.05123999999999,123,0
57,41.538419999999995,42.59611124999999,123,0
48,41.538419999999995,42.716303437499995,117,0
65,41.538419999999995,42.355726874999995,117,48
69,41.538419999999995,42.2996371875,113,52
65,41.538419999999995,42.2996371875,113,52
60,41.538419999999995,42.2996371875,113,52
60,41.923035,42.41181656249999,112,0
65,42.307649999999995,42.772393124999994,123,0
69,42.307649999999995,44.23072499999999,122,0
60,42.307649999999995,42.676239374999994,113,48
63,42.307649999999995,43.0688671875,113,52
60,42.69226499999999,43.926238125,117,0
63,42.69226499999999,44.807647499999995,110,48
63,43.076879999999996,44.471109375,123,0
72,43.076879999999996,44.54322468749999,122,0
67,43.076879999999996,44.583288749999994,123,0
41,43.076879999999996,45.336493125,120,0
65,43.076879999999996,44.711493749999995,103,48
69,43.076879999999996,44.73553218749999,104,48
72,43.076879999999996,44.711493749999995,113,52
48,43.46149499999999,45.392582812499995,119,0
57,43.846109999999996,45.08809593749999,123,0
60,44.23072499999999,45.160211249999996,119,0
